pH,EC,TDS,Na,K,Ca,Mg,Cl,HCO3,SO4,NO3,Larson_index,Larson_corrosive,source
6.4,584.0,373.76,16.7886,3.0,52.989,16.0,23.0,225.0,5.43,11.0,0.23724820906824046,0,LUVUVU
6.4,171.0,109.44,15.8372,1.65097,18.0,6.0,29.0,66.0,4.84,3.0,0.9425478445906806,0,LUVUVU
6.02,267.0,170.88,23.0,3.3249,22.4126,9.0,31.0,118.0,4.79,13.0,0.555281713420288,0,LUVUVU
6.05,90.0,57.6,5.43735,1.0,12.0,4.0,12.0,41.0,1.82,3.0,0.6165111572008942,0,LUVUVU
5.9,136.0,87.04,14.6649,0.563769,14.0,5.0,17.0,70.0,2.45,0.0,0.5068993778593287,0,LUVUVU
5.85,270.0,172.8,32.0,4.0,22.0,7.0,26.0,118.0,4.59,10.0,0.4780489661955428,0,LUVUVU
5.94,343.0,219.52,19.0,1.94684,33.0,15.0,32.0,147.0,13.0,6.0,0.5993475975076866,0,LUVUVU
5.9,540.0,345.6,37.1764,7.0,46.0,22.0,56.0,212.0,10.8,10.0,0.5840559633629806,0,LUVUVU
6.03,413.0,264.32,30.0,1.70174,34.0,15.0,20.0,198.0,5.84,14.0,0.24878475372342285,0,LUVUVU
6.14,530.0,339.2,35.4794,2.89773,45.0,18.0,42.0,233.0,8.24,28.2,0.40008844287516204,0,LUVUVU
6.13,739.0,472.96000000000004,44.7612,8.0,72.0,25.0,99.33090000000001,217.76999999999992,20.7,38.0,1.0265359095894024,1,LUVUVU
6.27,408.0,261.12,38.0,3.12764,31.0,9.0,26.0,187.0,7.18,4.0,0.3368470309746122,0,LUVUVU
6.12,189.0,120.96000000000001,14.0,1.17648,14.0011,5.0,11.0,81.0,3.63,3.0,0.34758895270021317,0,LUVUVU
5.92,125.0,80.0,10.4282,0.770951,10.6422,4.0,10.0,62.0,3.95,1.0,0.43946278482274653,0,LUVUVU
5.88,204.0,130.56,11.1466,1.1211,16.0642,7.0,20.0,70.0,4.05,10.0,0.6387341057150376,0,LUVUVU
6.01,251.0,160.64000000000001,40.0,0.904212,15.0,6.0,35.0,85.0,11.7,9.0,1.0584031719006317,1,LUVUVU
6.35,42.0,26.88,6.0,2.0,3.0,2.0,10.0,18.0,1.89,0.0,1.222927143234858,1,LUVUVU
6.07,90.0,57.6,18.0,1.0,6.0,3.0,33.0,25.620000000000005,2.12,0.0,2.42706816872072,1,LUVUVU
5.92,80.0,51.2,5.09137,1.0,8.0,3.0,13.0,30.0,2.51,0.0,0.9583718807245079,0,LUVUVU
6.01,37.0,23.68,4.0,1.0,5.0,2.0,9.0,18.0,2.99,0.0,1.2825824132729982,1,LUVUVU
5.75,397.0,254.08,40.0,3.0,42.0,8.0,41.0,167.0,3.36,12.0,0.4736559613428088,0,LUVUVU
5.72,161.0,103.04,29.0,1.0,11.0,3.0,36.0,51.0,2.4,4.0,1.3344331289203035,1,LUVUVU
5.85,335.0,214.4,13.0,0.143829,43.0,8.0,35.0,136.0,3.73,6.0,0.5126048789119123,0,LUVUVU
5.95,221.0,141.44,11.0,2.0,22.0,7.0,23.0,102.0,2.99,2.0,0.46256222608994535,0,LUVUVU
5.77,532.0,340.48,44.0,6.29439,47.0,16.0,83.0,168.0,13.1,16.0,1.0484066711556508,1,LUVUVU
5.92,583.0,373.12,31.4029,3.85479,56.0,17.0,57.943025,251.0,10.0,12.0,0.4985311042786176,0,LUVUVU
6.14,287.0,183.68,20.2339,1.36169,24.9046,13.0,35.0,134.0,7.72,4.0,0.5959102273521406,0,LUVUVU
6.04,334.0,213.76,21.9774,0.917516,24.0,21.0,45.0,137.0,5.95,5.0,0.6756599202528815,0,LUVUVU
6.06,218.0,139.52,15.8595,1.0,22.8457,10.0,36.0,88.0,7.39,2.0,0.9174383544101582,0,LUVUVU
6.07,181.0,115.84,7.60482,1.0,23.4644,13.399,24.832725000000003,105.0,2.43,1.0,0.46583565505946567,0,LUVUVU
5.48,195.0,124.8,12.0,3.0,18.0,9.0,41.0,46.0,2.42,6.0,1.667656817066454,1,LUVUVU
6.11,279.0,178.56,13.9354,0.740692,26.9408,17.0,33.110299999999995,130.0,6.09,4.0,0.557370853433088,0,LUVUVU
5.73,69.0,44.160000000000004,8.0,2.0,7.0,2.0,11.0,28.0,1.54,2.0,0.81587420455481,0,LUVUVU
5.98,323.0,206.72,45.4398,0.788299,20.0,9.0,34.0,156.0,2.01,12.0,0.40784014432775695,0,LUVUVU
5.84,302.0,193.28,41.4809,0.69579,21.0,11.0,64.0,102.4800000000001,5.05,8.0,1.2000281061810518,1,LUVUVU
6.0,285.0,182.4,36.0783,2.0,16.0,8.0,51.0,105.0,5.98,5.0,0.9806476434178137,0,LUVUVU
6.1,68.0,43.52,6.0,0.502413,9.0,4.0,26.0,13.0,2.48,0.96,3.9268257689455095,1,LUVUVU
5.65,237.0,151.68,28.2435,1.95988,17.0,5.0,48.0,80.0,2.1,0.0,1.0993324527323722,1,LUVUVU
5.78,73.0,46.72,5.73342,1.0,8.0,3.0,14.0,26.0,2.28,0.0,1.1495322697169796,1,LUVUVU
7.7,59.0,37.76,6.70254,1.0,6.0,2.0,11.0,25.0,2.22,4.0,0.9828882891971606,0,LUVUVU
5.6,198.0,126.72,15.0,1.0,20.0,8.0,35.0,84.0,1.5,3.0,0.7624800842337935,0,LUVUVU
5.68,266.0,170.24,26.0,3.0,27.0,6.0,41.0,102.0,6.07,8.81,0.8430005467355539,0,LUVUVU
5.99,1486.0,951.04,147.367,13.0,114.816,36.0,380.76845000000003,275.4150000000003,54.8,15.0,2.884957837056053,1,LUVUVU
6.45,1603.0,1025.92,205.0,25.0,90.0,46.0,402.0,304.0,39.8,7.0,2.6085190452631726,1,LUVUVU
6.81,398.0,254.72,65.855,2.28816,13.4857,10.6167,82.77575,115.29,23.3,2.0,1.7491743881228763,1,LUVUVU
7.34,3770.0,2412.8,814.0,45.0,124.0,22.0,869.0,826.0,275.0,49.0,2.6565578005631507,1,LUVUVU
8.14,3928.0,2513.92,732.0,53.0,158.0,27.0,794.0,756.0,269.0,45.0,2.7116302177743234,1,LUVUVU
7.62,1835.0,1174.4,349.0,12.0,90.0,12.0,357.0,387.0,148.0,26.0,2.5593133514377495,1,LUVUVU
7.49,2441.0,1562.24,514.0,36.0,108.0,14.0,708.0,401.0,87.0,49.0,3.58992374007664,1,LUVUVU
7.73,146.0,93.44,13.2395,1.0,11.0,10.0,40.0,36.0,9.0,12.3,2.5474854336693826,1,LUVUVU
6.86,1128.0,721.92,145.0,5.0,47.0,25.0,114.0,478.0,10.4,11.0,0.46574295109750147,0,LUVUVU
6.82,265.0,169.6,13.0,2.39028,21.0,14.0,54.0,82.0,5.38,5.0,1.3000819562535169,1,LUVUVU
6.61,212.0,135.68,14.0396,2.0732,16.0,13.0,40.0,82.0,3.11,8.0,0.9359059656944735,0,LUVUVU
6.43,232.0,148.48,21.0,2.84,16.0,11.0,42.0,77.0,5.21,4.0,1.1106759453186752,1,LUVUVU
6.32,238.0,152.32,26.0,1.99476,22.0,13.0,60.0,73.0,3.88,6.0,1.549615376940093,1,LUVUVU
6.28,102.0,65.28,10.0,2.0,8.0,6.0,21.0,42.0,3.46,2.63,1.0698426110990922,1,LUVUVU
6.24,171.0,109.44,18.0,1.33681,12.0,7.0,25.0,65.0,6.0,2.0,0.896480219423969,0,LUVUVU
6.13,165.0,105.60000000000001,11.0,2.90718,16.0,5.0,27.0,51.0,3.4,2.4,1.0805355503762408,1,LUVUVU
6.74,401.0,256.64,36.2082,2.0,35.0,14.0,51.0,147.0,12.8,14.0,0.8183409058259432,0,LUVUVU
6.5,653.0,417.92,79.0,3.15277,55.0,12.0,56.0,275.0,4.15,54.0,0.38881340367639006,0,LUVUVU
6.64,787.0,503.68,77.5818,7.50059,61.0,28.0,116.0,265.0,24.6,49.0,0.9892313632267775,0,LUVUVU
6.8,1097.0,702.08,126.0,5.17794,80.6258,31.0,149.0,345.0,34.5,64.0,0.9973769735305974,0,LUVUVU
6.72,533.0,341.12,22.9236,0.97665,43.0,31.0,57.943025,220.0,8.97,6.0,0.5568832051524618,0,LUVUVU
6.6,693.0,443.52,95.0,0.927381,28.0,14.0,89.0,257.0,4.3,10.0,0.6385207723503834,0,LUVUVU
6.53,200.0,128.0,23.9634,2.0,16.0,10.0,33.0,96.0,2.41,7.0,0.6553990864564837,0,LUVUVU
6.37,462.0,295.68,29.0,4.0,36.0,17.0,56.0,195.0,2.97,0.0,0.5329516265057286,0,LUVUVU
6.48,230.0,147.20000000000002,19.492,1.0,26.0,8.0,41.0,91.0,10.0,4.0,1.0546298459274042,1,LUVUVU
6.44,195.0,124.8,24.0,2.0,11.0,7.0,24.0,89.0,2.43,0.0,0.5334783448054315,0,LUVUVU
6.45,435.0,278.40000000000003,41.0,8.0,31.0,15.0,46.0,165.0,17.0,11.0,0.7415883343991339,0,LUVUVU
6.22,296.0,189.44,25.0,2.78419,21.0,11.0,31.0,127.0,5.53,2.0,0.5307355780062033,0,LUVUVU
6.52,357.0,228.48000000000002,13.6504,6.0,40.0,18.0,33.110299999999995,164.0,10.0,13.0,0.5023942413723712,0,LUVUVU
6.44,125.0,80.0,10.0,2.0,14.0,7.0,24.0,57.0,5.0,1.0,0.9475328753554737,0,LUVUVU
6.62,47.0,30.080000000000002,5.0,1.0,7.0,1.78041,13.0,18.0,2.0,0.0,1.525297738607749,1,LUVUVU
6.21,104.0,66.56,7.0,2.0,9.0,3.0,18.0,33.0,5.0,0.0,1.323727387013215,1,LUVUVU
6.17,93.0,59.52,8.0,1.0,12.0,2.0,22.0,31.0,2.95,0.0,1.4631823944087239,1,LUVUVU
